iter	RMSE
0	560.6273552
1	540.9784357
2	522.643052
3	505.5295108
4	488.8545861
5	473.1342544
6	458.255603
7	444.3536897
8	431.2132891
9	419.0331415
10	407.8113867
11	396.9463574
12	387.01829
13	377.5923722
14	368.5805811
15	360.2118723
16	352.4108817
17	345.1590465
18	338.318158
19	331.9306823
20	325.9294728
21	320.5982594
22	315.4132579
23	310.4827794
24	305.7824819
25	301.3351297
26	297.153889
27	293.143323
28	289.3650243
29	285.9355925
30	282.6538748
31	279.6078125
32	276.6156142
33	273.885448
34	271.2531427
35	268.7994466
36	266.5799003
37	264.3567046
38	262.3387909
39	260.471648
40	258.6703276
41	257.0005329
42	255.3963362
43	253.8947583
44	252.3510948
45	251.0593418
46	249.7567133
47	248.4556657
48	247.2469176
49	246.1556658
50	245.1580257
51	244.1916601
52	243.2341673
53	242.3371601
54	241.4596418
55	240.5800558
56	239.8475385
57	239.0851947
58	238.3835194
59	237.6785182
60	237.0253692
61	236.4702283
62	235.8935547
63	235.3929497
64	234.8538708
65	234.3696268
66	233.900914
67	233.4302599
68	232.9586161
69	232.4961199
70	232.0690679
71	231.6648115
72	231.2719878
73	230.8933381
74	230.5090343
75	230.147299
76	229.7932996
77	229.4703232
78	229.201446
79	228.8718325
80	228.5887604
81	228.3260662
82	228.071278
83	227.8199388
84	227.5598717
85	227.3497108
86	227.1255604
87	226.9420486
88	226.7716256
89	226.5873732
90	226.3767146
91	226.1772591
92	225.9937538
93	225.8563021
94	225.6549045
95	225.525554
96	225.3420403
97	225.1591299
98	224.9877433
99	224.7659739
100	224.6379408
101	224.4834732
102	224.3519311
103	224.1908389
104	224.0364238
105	223.9215631
106	223.8082475
107	223.6889464
108	223.6025098
109	223.5112521
110	223.4188062
111	223.3084687
112	223.1519658
113	223.0359283
114	222.9380239
115	222.8365514
116	222.687948
117	222.6073579
118	222.519708
119	222.4189859
120	222.3138928
121	222.2386158
122	222.1600591
123	222.0677127
124	221.9786016
125	221.8750847
126	221.8332108
127	221.7484342
128	221.6570749
129	221.5698108
130	221.471094
131	221.3525311
132	221.2892174
133	221.2607668
134	221.218358
135	221.1598268
136	221.0912893
137	221.0021843
138	220.9369129
139	220.8637918
140	220.7924241
141	220.7290278
142	220.648292
143	220.5627812
144	220.5612745
145	220.4833578
146	220.4117707
147	220.370185
148	220.2892479
149	220.2116059
150	220.1496261
151	220.0427249
152	219.9569683
153	219.8737161
154	219.8355921
155	219.7326047
156	219.6554844
157	219.614819
158	219.5654123
159	219.5033879
160	219.4834453
161	219.4498702
162	219.4335842
163	219.382392
164	219.3322922
165	219.3100265
166	219.2828522
167	219.2432179
168	219.2116323
169	219.1918017
170	219.1635051
171	219.0811703
172	219.081041
173	219.0156666
174	218.9656767
