iter	Passed	Remaining
0	120	59880
1	182	45506
2	237	39352
3	293	36432
4	348	34504
5	437	36035
6	491	34587
7	546	33634
8	601	32838
9	660	32377
10	714	31751
11	778	31677
12	838	31415
13	899	31229
14	954	30872
15	1019	30847
16	1089	30941
17	1165	31211
18	1253	31736
19	1326	31838
20	1384	31575
21	1444	31381
22	1497	31059
23	1547	30690
24	1608	30569
25	1663	30324
26	1712	30003
27	1766	29780
28	1823	29610
29	1880	29464
30	1930	29205
31	1985	29039
32	2039	28856
33	2091	28666
34	2138	28411
35	2197	28329
36	2259	28278
37	2317	28171
38	2381	28149
39	2442	28085
40	2500	27991
41	2551	27820
42	2608	27720
43	2669	27668
44	2730	27609
45	2793	27570
46	2851	27486
47	2904	27347
48	2960	27244
49	3016	27150
50	3072	27046
51	3130	26967
52	3190	26906
53	3249	26840
54	3309	26773
55	3366	26690
56	3419	26578
57	3478	26507
58	3534	26416
59	3592	26347
60	3653	26291
61	3710	26210
62	3768	26138
63	3832	26111
64	3888	26023
65	3951	25982
66	4019	25977
67	4085	25953
68	4148	25913
69	4215	25894
70	4274	25825
71	4340	25804
72	4397	25723
73	4450	25621
74	4510	25560
75	4568	25486
76	4627	25420
77	4679	25319
78	4737	25247
79	4790	25148
80	4850	25089
81	4918	25070
82	4984	25040
83	5034	24933
84	5090	24852
85	5150	24795
86	5208	24726
87	5267	24660
88	5331	24620
89	5392	24565
90	5442	24461
91	5501	24396
92	5555	24312
93	5618	24266
94	5670	24174
95	5742	24167
96	5787	24044
97	5890	24162
98	5978	24215
99	6037	24148
100	6097	24090
101	6154	24014
102	6214	23952
103	6258	23832
104	6308	23731
105	6366	23665
106	6435	23635
107	6494	23574
108	6553	23506
109	6621	23477
110	6681	23416
111	6740	23352
112	6796	23276
113	6855	23210
114	6913	23145
115	6976	23095
116	7037	23035
117	7097	22975
118	7162	22932
119	7224	22876
120	7278	22796
121	7338	22737
122	7400	22683
123	7467	22644
124	7522	22567
125	7574	22483
126	7636	22428
127	7704	22390
128	7760	22318
129	7818	22253
130	7881	22200
131	7941	22140
132	8004	22086
133	8074	22055
134	8139	22006
135	8200	21949
136	8249	21857
137	8308	21795
138	8360	21712
139	8415	21638
140	8482	21597
141	8542	21536
142	8601	21473
143	8655	21398
144	8691	21280
145	8750	21217
146	8808	21152
147	8867	21090
148	8932	21043
149	8983	20961
150	9032	20876
151	9085	20801
152	9144	20738
153	9194	20656
154	9248	20585
155	9295	20498
156	9353	20434
157	9405	20359
158	9458	20286
159	9519	20228
160	9574	20160
161	9626	20085
162	9691	20036
163	9745	19966
164	9800	19898
165	9877	19873
